date,shift,pump,raw_text,Seal_Issue,Low_Level,Pressure_Issue,Trip_Issue,Flow_Issue,Maintenance_Event,Mode_Event,Total_Failure
2025-03-01,Day,P1B,bin 2 p-1b pull turbine,0,0,0,0,0,0,0,0
2025-03-01,Day,P212A,bin 1 p-212a,0,0,0,0,0,0,0,0
2025-03-01,Day,P214A,bin 2 p-214a,0,0,0,0,0,0,0,0
2025-03-01,Day,P216A,ivol rotating installing p-216a turbine. | b&r is working on the 12” suction of p-216a/b.,0,0,0,0,0,0,0,0
2025-03-01,Day,P216B,bin 1 p-216b,0,0,0,0,0,0,0,0
2025-03-01,Day,P41B,bin 3 p-41b seal repair,1,0,0,0,0,1,0,1
2025-03-01,Day,P44S,bin 2 sv-981 @ p-44s,0,0,0,0,0,0,0,0
2025-03-01,Night,P15B,bin #7 p-15b,0,0,0,0,0,0,0,0
2025-03-01,Night,P15C,bin #1 p-15 c,0,0,0,0,0,0,0,0
2025-03-01,Night,P1B,2: p-1b,0,0,0,0,0,0,0,0
2025-03-01,Night,P212A,bin 1 p-212-a,0,0,0,0,0,0,0,0
2025-03-01,Night,P213A,bin # 11 p-213 a/b,0,0,0,0,0,0,0,0
2025-03-01,Night,P214A,bin 2 p-214-a,0,0,0,0,0,0,0,0
2025-03-01,Night,P215,bin #2 p-215,0,0,0,0,0,0,0,0
2025-03-01,Night,P216A,1730 pm brown and root – demo scaffold near p-216 a | #34 : p-216a,0,0,0,0,0,1,0,0
2025-03-01,Night,P216B,1: p-216b,0,0,0,0,0,0,0,0
2025-03-01,Night,P35A,bin 5 p-35-a,0,0,0,0,0,0,0,0
2025-03-01,Night,P35B,bin # 1 p-35-b,0,0,0,0,0,0,0,0
2025-03-01,Night,P36A,bin 4 p-36-a,0,0,0,0,0,0,0,0
2025-03-01,Night,P37A,bin # 14 p-37 a/b,0,0,0,0,0,0,0,0
2025-03-01,Night,P41B,bin #3 p-41b (main sat box t and i bin #24),0,0,0,0,0,0,0,0
2025-03-01,Night,P669B,p669b tripped i&e reset and advised it should be off generator possibly tomorrow should stop tripping when power restored.,0,0,0,1,0,0,0,1
2025-03-02,Day,P1B,bin 2 p-1b pull turbine,0,0,0,0,0,0,0,0
2025-03-02,Day,P212A,bin 1 p-212a,0,0,0,0,0,0,0,0
2025-03-02,Day,P214A,bin 2 p-214a,0,0,0,0,0,0,0,0
2025-03-02,Day,P216A,b&r working on installing and welding case drains to p-216a.,0,0,0,0,0,0,0,0
2025-03-02,Day,P216B,bin 1 p-216b,0,0,0,0,0,0,0,0
2025-03-02,Day,P41B,bin 3 p-41b seal repair,1,0,0,0,0,1,0,1
2025-03-02,Day,P44S,bin 2 sv-981 @ p-44s,0,0,0,0,0,0,0,0
2025-03-02,Night,P15B,bin #7 p-15b,0,0,0,0,0,0,0,0
2025-03-02,Night,P15C,bin #1 p-15 c,0,0,0,0,0,0,0,0
2025-03-02,Night,P1B,2: p-1b,0,0,0,0,0,0,0,0
2025-03-02,Night,P212A,bin 1 p-212-a,0,0,0,0,0,0,0,0
2025-03-02,Night,P213A,bin # 11 p-213 a/b,0,0,0,0,0,0,0,0
2025-03-02,Night,P214A,bin 2 p-214-a,0,0,0,0,0,0,0,0
2025-03-02,Night,P215,bin #2 p-215,0,0,0,0,0,0,0,0
2025-03-02,Night,P216A,5:45pm brown and root fab drain lines p-216a | #34 : p-216a,0,0,0,0,0,1,0,0
2025-03-02,Night,P216B,1: p-216b,0,0,0,0,0,0,0,0
2025-03-02,Night,P35A,bin 5 p-35-a,0,0,0,0,0,0,0,0
2025-03-02,Night,P35B,bin # 1 p-35-b,0,0,0,0,0,0,0,0
2025-03-02,Night,P36A,bin 4 p-36-a,0,0,0,0,0,0,0,0
2025-03-02,Night,P37A,bin # 14 p-37 a/b,0,0,0,0,0,0,0,0
2025-03-02,Night,P41B,bin #3 p-41b (main sat box t and i bin #24),0,0,0,0,0,0,0,0
2025-03-02,Night,P669B,p669b tripped i&e reset.,0,0,0,1,0,0,0,1
2025-03-03,Day,P1B,bin 2 p-1b pull turbine,0,0,0,0,0,0,0,0
2025-03-03,Day,P212A,bin 1 p-212a,0,0,0,0,0,0,0,0
2025-03-03,Day,P214A,bin 2 p-214a,0,0,0,0,0,0,0,0
2025-03-03,Day,P216A,b&r welding on p-216a case drains.,0,0,0,0,0,0,0,0
2025-03-03,Day,P216B,bin 1 p-216b,0,0,0,0,0,0,0,0
2025-03-03,Day,P304,installed brass well water valve on p-304,0,0,0,0,0,0,0,0
2025-03-03,Day,P41B,bin 3 p-41b seal repair,1,0,0,0,0,1,0,1
2025-03-03,Day,P44S,bin 2 sv-981 @ p-44s,0,0,0,0,0,0,0,0
2025-03-03,Night,P15B,bin #7 p-15b,0,0,0,0,0,0,0,0
2025-03-03,Night,P15C,bin #1 p-15 c,0,0,0,0,0,0,0,0
2025-03-03,Night,P1B,2: p-1b,0,0,0,0,0,0,0,0
2025-03-03,Night,P212A,bin 1 p-212-a,0,0,0,0,0,0,0,0
2025-03-03,Night,P213A,bin # 11 p-213 a/b,0,0,0,0,0,0,0,0
2025-03-03,Night,P214A,bin 2 p-214-a,0,0,0,0,0,0,0,0
2025-03-03,Night,P215,bin #2 p-215,0,0,0,0,0,0,0,0
2025-03-03,Night,P216A,1735 brown and root p-216a case drain work | 2030 brown and root p-216a build scaffold | #34 : p-216a,0,0,0,0,0,0,0,0
2025-03-03,Night,P216B,1: p-216b,0,0,0,0,0,0,0,0
2025-03-03,Night,P35A,bin 5 p-35-a,0,0,0,0,0,0,0,0
