date,shift,pump,raw_text,clean_text,Seal_Issue,Low_Level,Pressure_Issue,Trip_Issue,Flow_Issue,Maintenance_Event,Mode_Event,Total_Failure,event,history,month
2025-03-01,Night,P216A,b&r is working on the 12” suction of p-216a/b. | 1730 pm brown and root – demo scaffold near p-216 a | 1730 pm brown and root – demo scaffold near p-216 a | #34 : p-216a,b&r is working on the 12” suction of p-216a/b. | 1730 pm brown and root – demo scaffold near p-216 a | 1730 pm brown and root – demo scaffold near p-216 a | #34 : p-216a,0,0,0,0,0,1,0,0,Maintenance,2025-03-01 | Night | Maintenance,March-2025
2025-03-01,Night,P216B,b&r is working on the 12” suction of p-216a/b. | bin 1 p-216b | 1730 pm brown and root – demo scaffold near p-216 a | 1: p-216b,b&r is working on the 12” suction of p-216a/b. | bin 1 p-216b | 1730 pm brown and root – demo scaffold near p-216 a | 1: p-216b,0,0,0,0,0,1,0,0,Maintenance,2025-03-01 | Night | Maintenance,March-2025
2025-03-01,Night,P41B,bin 3 p-41b seal repair | bin #3 p-41b (main sat box t and i bin #24),bin 3 p-41b seal repair | bin #3 p-41b (main sat box t and i bin #24),1,0,0,0,0,0,0,1,Seal Failure,2025-03-01 | Night | Seal Failure,March-2025
2025-03-01,Night,P669B,p669b tripped i&e reset and advised it should be off generator possibly tomorrow should stop tripping when power restored.,p669b tripped i&e reset and advised it should be off generator possibly tomorrow should stop tripping when power restored.,0,0,0,1,0,0,0,1,Trip,2025-03-01 | Night | Trip,March-2025
2025-03-02,Night,P41B,bin 3 p-41b seal repair | bin #3 p-41b (main sat box t and i bin #24),bin 3 p-41b seal repair | bin #3 p-41b (main sat box t and i bin #24),1,0,0,0,0,0,0,1,Seal Failure,2025-03-02 | Night | Seal Failure,March-2025
2025-03-02,Night,P669B,p669b tripped i&e reset.,p669b tripped i&e reset.,0,0,0,1,0,0,0,1,Trip,2025-03-02 | Night | Trip,March-2025
2025-03-03,Night,P41B,bin 3 p-41b seal repair | bin #3 p-41b (main sat box t and i bin #24),bin 3 p-41b seal repair | bin #3 p-41b (main sat box t and i bin #24),1,0,0,0,0,0,0,1,Seal Failure,2025-03-03 | Night | Seal Failure,March-2025
2025-03-05,Night,P41B,bin 3 p-41b seal repair | bin #3 p-41b (main sat box t and i bin #24),bin 3 p-41b seal repair | bin #3 p-41b (main sat box t and i bin #24),1,0,0,0,0,0,0,1,Seal Failure,2025-03-05 | Night | Seal Failure,March-2025
2025-03-06,Night,P41B,bin 3 p-41b seal repair | bin #3 p-41b (main sat box t and i bin #24),bin 3 p-41b seal repair | bin #3 p-41b (main sat box t and i bin #24),1,0,0,0,0,0,0,1,Seal Failure,2025-03-06 | Night | Seal Failure,March-2025
2025-03-07,Night,P41B,bin 3 p-41b seal repair | bin #3 p-41b (main sat box is at t&i south bin #24,bin 3 p-41b seal repair | bin #3 p-41b (main sat box is at t&i south bin #24,1,0,0,0,0,0,0,1,Seal Failure,2025-03-07 | Night | Seal Failure,March-2025
2025-03-10,Night,P41B,bin 3 p-41b seal repair,bin 3 p-41b seal repair,1,0,0,0,0,0,0,1,Seal Failure,2025-03-10 | Night | Seal Failure,March-2025
2025-03-11,Day,P70A,b&r cutting and prepping 3” line on kickback for p-70 pumps.,b&r cutting and prepping 3” line on kickback for p-70 pumps.,0,0,0,0,1,0,0,1,Flow Issue,2025-03-11 | Day | Flow Issue,March-2025
2025-03-11,Day,P70B,b&r cutting and prepping 3” line on kickback for p-70 pumps.,b&r cutting and prepping 3” line on kickback for p-70 pumps.,0,0,0,0,1,0,0,1,Flow Issue,2025-03-11 | Day | Flow Issue,March-2025
2025-03-11,Night,P41B,bin 3 p-41b seal repair,bin 3 p-41b seal repair,1,0,0,0,0,0,0,1,Seal Failure,2025-03-11 | Night | Seal Failure,March-2025
2025-03-12,Night,P41B,bin 3 p-41b seal repair,bin 3 p-41b seal repair,1,0,0,0,0,0,0,1,Seal Failure,2025-03-12 | Night | Seal Failure,March-2025
2025-03-14,Day,P70A,lined up p-70a/b to the minflow line so b&r could proceed with hydros.,lined up p-70a/b to the minflow line so b&r could proceed with hydros.,0,0,0,0,1,0,0,1,Flow Issue,2025-03-14 | Day | Flow Issue,March-2025
